*** COMPREHENSIVE AEROLOGICAL REFERENCE DATASET (CARDS) STATION HISTORY *** 

NUMBER = STATION NUMBER (1ST 5 DIGITS IS WMO NUMBER)
NAME = STATION NAME 
COUNTRY = FIPS COUNTRY CODE 
LATITUDE = LATITUDE IN DEGREES & HUNDREDTHS (SOUTH = NEGATIVE)  
LONGITUDE = LONGITUDE IN DEGREES & HUNDREDTHS (WEST = NEGATIVE) 
ELEV = ELEVATION IN METERS (UNKNOWN = 9999.9)   
BEGINS = BEGINNING YEAR-MONTH FOR DIGITAL DATA  
ENDS = ENDING YEAR-MONTH FOR DIGITAL DATA (999912 = STATION STILL ACTIVE)   

NUMBER NAME                            COUNTRY    LATITUDE  LONGITUDE   ELEV    BEGINS ENDS 
133340 SPLIT/MARJAN                         HR    43.51700   16.43300  129.0    195601 197908   
135860 SKOPJE/PETROVAC                      MK    41.98300   21.46700  241.0    197108 999912   
150100 SATU MARE                            RO    47.78300   22.88300  123.0    199008 999912   
150100 SATU MARE                            RO    47.78300   22.88300  124.0    197303 199008   
150140 BAIA MARE                            RO    47.66700   23.58300  193.0    197610 198211   
150230 SUCEAVA/SALCEA                       RO    47.65000   26.25000  350.0    197602 198208   
150800 ORADEA                               RO    47.03300   21.93300  135.0    197303 999912   
150900 IASI                                 RO    47.16700   27.58300  104.0    197303 999912   
151200 CLUJ-NAPOCA                          RO    46.78300   23.56700  416.0    195805 999912   
151450 TIRGU MURES                          RO    46.53300   24.53300  308.0    198605 999912   
151450 TIRGU MURES                          RO    46.53300   24.53300  308.0    197601 198211   
151500 BACAU                                RO    46.56700   26.98300  182.0    198606 999912   
151500 BACAU                                RO    46.56700   26.98300  182.0    197611 198211   
151500 BACAU                                RO    46.56700   26.98300  182.0    197306 197412   
152000 ARAD                                 RO    46.18300   21.26700  110.0    198603 999912   
152000 ARAD                                 RO    46.18300   21.26700  110.0    197101 198211   
152300 DEVA                                 RO    45.88300   22.90000  192.0    197610 198211   
152300 DEVA                                 RO    45.88300   22.90000  192.0    197306 197412   
152350 FAGARAS                              RO    45.85000   24.98300  429.0    199108 999912   
152470 TIMISOARA                            RO    45.76700   21.25000   89.0    197601 198211   
152600 SIBIU                                RO    45.80000   24.15000  452.0    198604 999912   
152600 SIBIU                                RO    45.80000   24.15000  452.0    198408 198412   
152600 SIBIU                                RO    45.80000   24.15000  452.0    197610 198211   
152600 SIBIU                                RO    45.80000   24.15000  452.0    197302 197412   
153000 BRASOV                               RO    45.70000   25.53300  528.0    198408 198412   
153000 BRASOV                               RO    45.70000   25.53300  528.0    197601 198211   
153020 PREDEAL                              RO    45.50000   25.58300 1090.0    197601 199008   
153100 GALATI                               RO    45.45000   28.03300   64.0    198404 999912   
153100 GALATI                               RO    45.45000   28.03300   64.0    197105 198209   
153500 BUZAU                                RO    45.15000   26.81700   97.0    198406 999912   
153500 BUZAU                                RO    45.15000   26.81700   97.0    197601 198209   
153500 BUZAU                                RO    45.15000   26.81700   97.0    197307 197412   
154100 TURNU SEVERIN                        RO    44.63300   22.63300   70.0    197302 199103   
154200 BUCHAREST/BANEASA                    RO    44.41700   26.10000  100.0    195507 999912   
154500 CRAIOVA                              RO    44.23300   23.86700   72.0    198408 198412   
154500 CRAIOVA                              RO    44.23300   23.86700   72.0    197610 198210   
154500 CRAIOVA                              RO    44.23300   23.86700   72.0    197306 197412   
154800 CONSTANTA                            RO    44.18300   28.66700   17.0    196003 999912   
154900 TURNU MAGURELE                       RO    43.75000   24.86700   31.0    197605 198207   
156140 SOFIA (OBSERVATORY)                  BU    42.81700   23.38300  593.0    195507 999912   
157300 KURDJALI                             BU    41.63300   25.40000  241.0    196612 999912   
160440 UDINE                                IT    46.03300   13.18300   92.0    195802 999912   
160800 MILANO/LINATE                        IT    45.43300    9.28300  103.0    195507 999912   
161440 S. PIETRO CAPOFIUME                  IT    44.65000   11.61700   38.0    198708 999912   
162390 ROME/CIAMPINO                        IT    41.80000   12.55000  101.0    195707 196304   
162420 ROME/FIUMICINO                       IT    41.80000   12.23300    5.0    195507 198609   
162450 PRATICA DI MARE                      IT    41.65000   12.43300   12.0    198708 999912   
